Name,Phone,Tags,Rating,Rating Count,Address,Location
Jai Santoshi Maa Vegetables,919152239040,,3.5,2,"Prakash Bhaiya Chawl, Capt Vinayak Gore Marg, Manpada-Thane West, thane - 400607, Opp Buddha Vihar, Chitalsar",
Saanvi Agro,919152182011,,5.0,1,"Veer Savarkar Market   Dadar(West), Shop No.81, Dadar West, Mumbai - 400028, Near Nakshatra Mall",
R K FRUITS & VEGETABLES MER..,919152385037,,3.5,2,"Worli seaface, Worli, Mumbai - 400018",
Mahavir Fruits & Vegetables,919152215580,,3.5,2,"Panchasheel Arcade, Mahavir Nagar, Mahavir Nagar-Kandivali West, Mumbai - 400067, Opposite Axis Bank",
Jaiswal Enterprise,919152387778,,3.5,3,"Shop No 20, C Wing , Sawaswati Apartment, Kharigoan, Bhayandar East, Thane - 401105, Near Saraswati Vidyalaya",
Green Tops Agro Farms,919152238923,,3.8,10,"Khandke Building, R K Vaidya Marg, Dadar West, Mumbai - 400028, Behind Star Mall",
Nature Fresh Wholesale Hub,919152229552,,3.8,14,"B/4, Kailash Biulding, Market, Juhu, Church Road, Juhu, Mumbai - 400049",
Anna Vegetables,919152501020,,5.0,1,"Asharfa Devi K Tiwari Chawl, Datta Mandir Road, Bhandup West, Mumbai - 400078",
Mira Republic Mart (Veg Fru..,919152331017,,3.5,2,"Mira Bhayender Road, Mira Road, mumbai - 401107, Behind Maruti Suzuki Showroom",
Manubhai Fresh Vegetable Su..,919152157940,,4.4,29,"Shop No 21/22, New BMC Vegetable Market, Borivali West, Mumbai - 400092, Opp Railway Station",
Nature Fresh Wholesale Hub,919152229552,,3.8,14,"B/4, Kailash Biulding, Market, Juhu, Church Road, Juhu, Mumbai - 400049",
S R Organic,919152173767,,4.2,11,"Shop No 1, Kadamwadi, Mahavir Nagar, Kandivali West, Mumbai - 400067, Near Blossomm Building & shankar Mandir",
Mahavir Fruits & Vegetables,919152215580,,3.5,2,"Panchasheel Arcade, Mahavir Nagar, Mahavir Nagar-Kandivali West, Mumbai - 400067, Opposite Axis Bank",
Jai Santoshi Maa Vegetables,919152239040,,3.5,2,"Prakash Bhaiya Chawl, Capt Vinayak Gore Marg, Manpada-Thane West, thane - 400607, Opp Buddha Vihar, Chitalsar",
Green Tops Agro Farms,919152238923,,3.8,10,"Khandke Building, R K Vaidya Marg, Dadar West, Mumbai - 400028, Behind Star Mall",
Jaiswal Enterprise,919152387778,,3.5,3,"Shop No 20, C Wing , Sawaswati Apartment, Kharigoan, Bhayandar East, Thane - 401105, Near Saraswati Vidyalaya",
Saanvi Agro,919152182011,,5.0,1,"Veer Savarkar Market   Dadar(West), Shop No.81, Dadar West, Mumbai - 400028, Near Nakshatra Mall",
Manubhai Fresh Vegetable Su..,919152157940,,4.4,29,"Shop No 21/22, New BMC Vegetable Market, Borivali West, Mumbai - 400092, Opp Railway Station",
R K FRUITS & VEGETABLES MER..,919152385037,,3.5,2,"Worli seaface, Worli, Mumbai - 400018",
Anna Vegetables,919152501020,,5.0,1,"Asharfa Devi K Tiwari Chawl, Datta Mandir Road, Bhandup West, Mumbai - 400078",
